tanggal,Result
29-01-2026,3057
30-01-2026,9462
31-01-2026,4840
01-02-2026,4304
02-02-2026,3853
03-02-2026,1712
04-02-2026,6530
05-02-2026,1736
06-02-2026,6242
07-02-2026,9193
08-02-2026,4943
09-02-2026,9860
10-02-2026,7146
11-02-2026,3134
12-02-2026,7326
13-02-2026,0987
14-02-2026,3329
15-02-2026,4412
16-02-2026,0716
17-02-2026,5352
18-02-2026,5510
19-02-2026,8552
20-02-2026,0140
21-02-2026,7958
22-02-2026,3423
23-02-2026,2596
24-02-2026,2588
25-02-2026,0536
26-02-2026,3472
27-02-2026,9671
28-02-2026,0526
