tanggal,Result
29-01-2026,3249
30-01-2026,5207
31-01-2026,9957
01-02-2026,7925
02-02-2026,4767
03-02-2026,9211
04-02-2026,6525
05-02-2026,4181
06-02-2026,7543
07-02-2026,4223
08-02-2026,0428
09-02-2026,6794
10-02-2026,3091
11-02-2026,8069
12-02-2026,2971
13-02-2026,8300
14-02-2026,7445
15-02-2026,8853
16-02-2026,1092
17-02-2026,9569
18-02-2026,7105
19-02-2026,3798
20-02-2026,0286
21-02-2026,7344
22-02-2026,2072
23-02-2026,8331
24-02-2026,3593
25-02-2026,9663
26-02-2026,4177
27-02-2026,8964
28-02-2026,6041
01-03-2026,9604
