tanggal,Result
30-01-2026,2006
31-01-2026,2968
01-02-2026,1977
02-02-2026,1465
03-02-2026,5330
04-02-2026,9474
05-02-2026,1333
06-02-2026,3326
07-02-2026,6184
08-02-2026,9363
09-02-2026,2686
10-02-2026,1849
11-02-2026,2771
12-02-2026,8106
13-02-2026,7465
14-02-2026,6175
15-02-2026,8820
16-02-2026,5575
17-02-2026,4254
18-02-2026,4035
19-02-2026,8244
20-02-2026,2294
21-02-2026,5076
22-02-2026,8122
23-02-2026,8686
24-02-2026,8076
25-02-2026,4854
26-02-2026,8691
27-02-2026,2002
28-02-2026,6506
01-03-2026,5076
02-03-2026,7358
03-03-2026,4686
