tanggal,Result
17-01-2026,3236
18-01-2026,5896
19-01-2026,2459
21-01-2026,0452
22-01-2026,9905
24-01-2026,7295
25-01-2026,4025
26-01-2026,4857
28-01-2026,9683
29-01-2026,9384
31-01-2026,2490
01-02-2026,7970
02-02-2026,9763
04-02-2026,7541
05-02-2026,2267
07-02-2026,1516
08-02-2026,2916
09-02-2026,4405
11-02-2026,5878
13-02-2026,0819
14-02-2026,9651
15-02-2026,4198
16-02-2026,2132
18-02-2026,4118
19-02-2026,3291
21-02-2026,5888
22-02-2026,1903
23-02-2026,6923
25-02-2026,1516
27-02-2026,9852
28-02-2026,4172
01-03-2026,3927
02-03-2026,6823
