tanggal,Result
29-01-2026,9556
30-01-2026,4672
31-01-2026,6271
01-02-2026,4399
02-02-2026,9965
03-02-2026,2040
04-02-2026,1128
05-02-2026,3459
06-02-2026,0440
07-02-2026,0153
08-02-2026,6893
09-02-2026,3550
10-02-2026,7902
11-02-2026,4175
12-02-2026,3247
13-02-2026,8324
14-02-2026,5330
15-02-2026,4503
16-02-2026,6448
17-02-2026,7883
18-02-2026,4548
19-02-2026,3921
20-02-2026,6232
21-02-2026,2887
22-02-2026,6039
23-02-2026,8594
24-02-2026,0441
25-02-2026,3851
26-02-2026,1158
27-02-2026,5965
28-02-2026,2178
01-03-2026,6287
